Ticker,outstandingShares,volume,averageVolume,relativeVolume,turnoverRatio,VWAP,recentClose,momentum (%),latestCrossover,crossoverDate,daysSinceCrossover,RSI,latestUpper,latestMiddle,latestLower
CIFR,347806016,14835100,10995385.0,1.349211510101738,0.04265337377028,5.071249249408892,5.730000019073486,12.989911109996793,Bearish,2024-12-18,4,44.359216667593564,7.411460683989295,6.465999984741211,5.520539285493127
OWL,568430976,8598900,6947855.0,1.2376337733012563,0.0151274303531269,20.335284883553015,23.489999771118164,15.513502297263864,Bearish,2024-12-18,4,49.88766096321816,25.052914790054565,23.820000076293944,22.587085362533323
NOVA,124953000,13032600,9775040.0,1.333252856254297,0.1043000168063191,6.171626179344559,3.700000047683716,-40.0482151678755,Bearish,2024-12-12,10,39.22034890656661,5.795212947383826,4.526999986171722,3.2587870249596183
CCL,1164000000,60892900,20771110.0,2.9316151134917683,0.0523134879725085,19.446600743234615,26.799999237060547,37.81328465019341,Bearish,2024-12-09,13,62.528159410132304,27.036807008768406,25.814000034332274,24.591193059896142
XP,433628992,10169600,8929540.0,1.1388716552028435,0.0234523064361895,17.019516615657736,12.180000305175781,-28.435098479998324,Bearish,2024-11-08,44,25.940328561720804,15.969375720822997,13.591500186920166,11.213624653017336
MPW,600400000,22914900,13016245.0,1.7604846866358157,0.0381660559626915,4.7655824916408465,3.859999895095825,-19.00255840987905,Bearish,2024-12-12,10,35.877523646017316,4.4998767787259,4.129499971866608,3.759123165007315
HBAN,1452809984,42151200,14338220.0,2.9397791357644114,0.0290135671314329,15.076912909416569,16.31999969482422,8.244968932806243,Bearish,2024-11-29,23,38.48805347667758,18.659711809794178,17.357500076293945,16.055288342793713
HSAI,97445000,3479700,5556720.0,0.6262147453893664,0.0357093745189594,7.510099150493693,12.279999732971191,63.51315058422282,Bullish,2024-11-21,31,64.86869429789543,14.31957381874873,9.572999930381775,4.826426042014821
LESL,184968992,10055100,8521065.0,1.180028552768932,0.0543610033837455,2.925517333458156,2.1600000858306885,-26.16690179451356,Bearish,2024-11-26,26,39.59521602296556,3.127659340948322,2.468500030040741,1.8093407191331603
MRVL,865299968,28785700,20310850.0,1.4172572787451043,0.0332667295325729,82.71379185585745,111.9000015258789,35.285783682705876,Bearish,2024-12-19,3,57.25870613696355,126.34594336183154,105.83250045776367,85.3190575536958
PCG,2193509888,33683500,20704015.0,1.6269066652047923,0.0153559827490506,19.529209147858865,19.81999969482422,1.4890031888323334,Bearish,2024-12-02,20,43.256506275112045,21.861329484392048,20.364499855041505,18.86767022569096
PAGS,191528992,8045500,7924230.0,1.0153036951224284,0.0420066952579168,9.465993424883207,6.400000095367432,-32.38955693182942,Bearish,2024-12-03,19,31.53889964236109,8.31397631259937,7.201000046730042,6.088023780860713
NKE,1190599936,49863700,14096030.0,3.5374286235202392,0.0418811546114512,78.94381041507161,76.94000244140625,-2.5382711616398006,Bearish,2024-12-18,4,46.26686721138569,79.58659741170962,77.98749961853028,76.38840182535094
NEE,2056400000,27547500,10436050.0,2.639648142735997,0.013395983271737,77.45167353231103,71.66999816894531,-7.464881131269217,Bearish,2024-12-09,13,36.571019384023224,79.62688917876008,74.72699890136718,69.82710862397428
TNYA,79220496,9572800,7495975.0,1.2770586881626471,0.1208374156102228,2.386001651577862,1.6699999570846558,-30.008432476134907,Bearish,2024-12-12,10,37.58579969215066,4.53031216648558,2.898499995470047,1.2666878244545139
CLF,493944000,49662000,16451910.0,3.018616075580282,0.1005417618191535,12.742148293104863,9.380000114440918,-26.386038690848533,Bearish,2024-12-12,10,27.745643409316823,13.897535835328657,11.45950002670288,9.021464218077103
AG,301864000,13557900,9024335.0,1.502371088839233,0.0449139347520737,6.208147608350036,5.460000038146973,-12.051059630038369,Bearish,2024-12-16,6,34.24696269149235,6.718742831071372,6.080999970436096,5.44325710980082
KDP,1356450048,25034800,11070705.0,2.261355532461573,0.0184561164171966,34.19382245433697,32.369998931884766,-5.3337807578774425,Bearish,2024-12-20,2,40.940260279808975,33.762551169406834,32.891500091552736,32.02044901369864
ZETA,212558000,8648800,9155445.0,0.9446618924585316,0.0406891295552272,23.324753712869192,19.399999618530273,-16.826561783473306,Bearish,2024-12-17,5,38.96699317613517,26.376844561425997,22.055000019073486,17.733155476720974
SLB,1412150016,36346900,12386045.0,2.934504113298474,0.0257386960225053,43.23794914436374,36.83000183105469,-14.820192539461265,Bearish,2024-12-04,18,21.990055250005494,46.02539258560316,41.34300022125244,36.66060785690172
NGD,790900992,13763600,8458750.0,1.62714349046845,0.0174024310744574,2.639432920587719,2.509999990463257,-4.903815858129165,Bearish,2024-12-16,6,38.33117842897562,3.0639945454784687,2.765500009059906,2.4670054726413433
DJT,216924000,15245600,12817260.0,1.189458589433311,0.0702808356843871,32.06190279207753,34.709999084472656,8.259323564069524,Bearish,2024-12-20,2,52.020533577531346,38.999223893275435,34.22150011062622,29.443776327977012
URBN,92277104,3393200,2584155.0,1.3130791303153255,0.0367718518777962,41.495119994323524,55.09000015258789,32.7625999397619,Bullish,2024-11-22,30,72.76636676170162,59.24141997012366,49.901000022888184,40.56058007565271
SEDG,57950100,7364800,5448585.0,1.3516903930102953,0.1270886504078509,20.179855085864038,14.770000457763672,-26.808193642034432,Bullish,2024-11-25,27,53.258255649409236,15.960468696562494,13.890000009536744,11.819531322510993
NFE,267120000,5994600,5682265.0,1.054966637423633,0.0224415992812219,12.177655208307515,11.960000038146973,-1.787332343028232,Bearish,2024-12-18,4,57.715670960448264,13.850668198638758,11.560000038146972,9.269331877655187
HAL,878502016,18032300,9550050.0,1.8881890670729475,0.0205261908015928,30.682208987075153,25.969999313354492,-15.358117388828408,Bearish,2024-12-04,18,24.606684894921475,33.67234279950362,29.501500034332274,25.33065726916093
LRCX,1286690048,29399100,12820605.0,2.293113312515283,0.0228486262450675,81.6074389518696,71.79000091552734,-12.03007735867361,Bearish,2024-12-19,3,42.22754116268542,80.25539469389908,75.39449958801269,70.53360448212631
NTNX,267928000,4806100,4381020.0,1.0970276328343629,0.0179380281269594,60.54103821247097,65.06999969482422,7.48081238127878,Bearish,2024-11-27,25,46.219657950215826,72.64141717935917,67.03550033569336,61.42958349202755
CVX,1782919936,32142000,10117310.0,3.1769314175408288,0.0180277304387043,151.04282541498463,142.85000610351562,-5.424169793540036,Bearish,2024-11-29,23,27.20688358193359,169.03646032122484,155.53650131225587,142.0365423032869
RUN,224339008,13761400,8200825.0,1.6780506839250928,0.0613419847162736,14.855299925945667,9.869999885559082,-33.5590669002883,Bullish,2024-12-20,2,40.918749663103185,12.100903045477937,10.596999979019165,9.093096912560393
JWN,164907008,4576700,2900530.0,1.5778840418820008,0.02775321713435,22.58521632377589,24.530000686645508,8.61087330309211,Bullish,2024-12-19,3,61.27916654176221,24.707448984136438,23.374999904632567,22.042550825128696
HIVE,129042000,15668200,9066985.0,1.728049621787176,0.1214193828365958,3.6772574982656447,3.130000114440918,-14.882215457656617,Bearish,2024-11-18,34,33.827577723380905,4.539760338129931,3.890500032901764,3.241239727673596
CVS,1258409984,21421000,14982875.0,1.4296989062513037,0.0170222743560178,57.40820608776605,44.36000061035156,-22.728815907374464,Bearish,2024-12-06,16,27.043285999569015,65.418663132934,53.56849975585938,41.71833637878475
STNE,278025984,7943400,7297045.0,1.088577636563842,0.0285707108584498,11.61968181109398,8.199999809265137,-29.43008300419961,Bearish,2024-12-02,20,31.11611471575403,10.880996904517568,9.30149998664856,7.722003068779552
GAP,377121984,11006500,8222185.0,1.3386344384126605,0.029185516800845,22.70284105614999,24.110000610351562,6.198165025783798,Bearish,2024-12-12,10,50.759035950497314,26.297561564996933,24.87150001525879,23.445438465520645
CRM,957000000,14926800,8125825.0,1.836958093485892,0.0155974921630094,287.46758618004236,343.6499938964844,19.543910485008457,Bearish,2024-12-13,9,52.82615847722505,369.542398413803,346.54400024414065,323.54560207447827
CDE,399240992,17155600,9459800.0,1.8135267130383304,0.0429705374542301,6.38737345451507,5.880000114440918,-7.943379914877266,Bearish,2024-12-16,6,39.722998723950695,7.322583014877857,6.517000007629394,5.711417000380932
VRT,375336000,8715500,6750500.0,1.291089548922302,0.0232205277404778,97.23176129942217,120.04000091552734,23.457602033833272,Bearish,2024-11-27,25,45.83033672282274,139.05131920213577,126.6885009765625,114.32568275098922
META,2180000000,48917700,13422960.0,3.644330311645121,0.0224393119266055,542.5431489035096,585.25,7.871604531879493,Bearish,2024-12-18,4,44.09551170703049,647.2672765250165,601.6335021972657,555.9997278695148
BMY,2028179968,48210700,11812785.0,4.081230632742406,0.0237704250907974,50.03660787683483,57.33000183105469,14.576115895331188,Bearish,2024-12-03,19,51.01885516745681,60.49409454397857,57.9814998626709,55.46890518136323
FCX,1436930048,22370400,12162400.0,1.83930803130961,0.0155681899972349,45.28398255336367,38.86000061035156,-14.185991559911814,Bearish,2024-12-12,10,30.82224957980055,45.948119999603776,42.25750026702881,38.566880534453844
NEM,1138450048,23924000,10921470.0,2.190547609433529,0.0210145364234724,47.12691755634201,38.279998779296875,-18.772538574092625,Bearish,2024-12-18,4,32.338264332390914,44.13178655884626,40.91200008392334,37.69221360900042
SNOW,330071008,5299900,7466545.0,0.7098196019711929,0.0160568479858733,133.43891560037886,166.2899932861328,24.61881343830456,Bearish,2024-12-11,11,55.15321749038016,185.43556253685793,172.9259994506836,160.41643636450928
ASTS,200344992,9571900,7549165.0,1.2679415538009833,0.0477770864369796,25.306171586329842,22.8799991607666,-9.587275646521881,Bearish,2024-12-19,3,44.570872104876905,25.475127699721327,23.72174987792969,21.96837205613805
HST,699028992,19799300,7901065.0,2.5059026852709096,0.0283240040493198,17.625544854208723,18.200000762939453,3.2592235501506126,Bearish,2024-12-17,5,48.776608537100344,19.265996669566906,18.498499870300293,17.73100307103368
OXY,938342976,29067300,12236260.0,2.375505260594332,0.0309772660353989,53.591804114277906,47.130001068115234,-12.057446381882713,Bearish,2024-12-04,18,41.24710180705332,52.03219337453776,48.58000011444092,45.12780685434408
AFRM,271918016,8698800,8300985.0,1.0479238307261127,0.0319905246734368,44.84380848871247,65.63999938964844,46.37472061760885,Bearish,2024-12-09,13,51.670170047627096,73.93839510922842,68.60999965667725,63.28160420412607
TGT,458212000,7162500,7592445.0,0.9433719967678396,0.0156314107880195,142.2513302010278,131.47999572753906,-7.572044815515483,Bullish,2024-12-09,13,42.033795818678634,137.07206639025372,131.55399894714355,126.03593150403339
KHC,1209170048,20431400,11928955.0,1.7127569011703037,0.0168970444097536,33.383179249843884,30.520000457763672,-8.57671095569366,Bearish,2024-12-19,3,38.7286266993456,32.445356388561414,31.322999954223633,30.200643519885848
ARWR,124434000,4011000,2256430.0,1.7775867188434828,0.032233955349824,22.777116343715605,19.450000762939453,-14.607273065513098,Bearish,2024-12-12,10,39.303951932724566,27.238685196754663,22.492500209808348,17.746315222862034
SQ,559742016,8829200,8722610.0,1.0122199662715632,0.015773695287509,74.16367146206183,89.6500015258789,20.881288316125314,Bearish,2024-12-10,12,49.95888928082755,99.6860489970538,92.75150070190429,85.81695240675478
AMGN,537532992,13687600,5160780.0,2.652234739709889,0.0254637393494165,305.2642555691063,263.3800048828125,-13.720653473892217,Bearish,2024-12-17,5,31.287021385740445,293.2695584181328,275.0170013427734,256.76444426741404
FLNC,129621000,3404000,4552445.0,0.7477300659316037,0.0262611768154851,18.357914558114647,15.210000038146973,-17.14745163456608,Bearish,2024-11-27,25,35.33104564359994,22.066506361355465,17.83800015449524,13.609493947635016
